text,source
"['性，爱情，婚姻，需要，这些相互联系但又有本质区别的东西被你们揉搓在一起。结婚，离婚，分手，如此的反复，事实上已经牵扯到一堆人了。但是，你的叙述里只有你和他，别人都是附属品，你强调的只有你和他。并且在这段关系中，你似乎一直属于主宰者。在关系中人与人应该是平等的，而你这种主导地位是一把双刃剑，一方面它让你有优越感和价值感，另一方面它会让你变得没有责任感和对人的尊重。你目前的状态很糟，关系很乱，但是解决问题的方式永远是真诚和尊重。真诚表达自己的想法，尊重他人，尊重自己，承担责任。希望你能幸福，也希望你能拥有让他人幸福的能力。\n', '虽然你来到的是一个求助的平台，但你呈现的更多是“炫耀”的姿态",真人
"['你好，这个可能与你缺乏这种与人亲密相处的经验有关。再就是与我们的自我心理因素有关，比如，内心的阴影导致的开放性不足，比如我们对他人潜意识中的敌意，再比如对自我形象的过份在意而采用保守和回避的方式。建议进行专业咨询。\n', '对爱和连接的渴望是我们的天性，害怕被评判，内心有冲突，自我价值感不高让我们把心门关起，这是对自我的一种保护，让我陪伴你找到自己的内在力量，看清背后的真相，更加自由而勇敢的去爱和接受爱！\n', '你好，你的状况是过于的自卑敏感，过于在意别人的看法，猜测别人的想法，总觉得别人在嘲笑自己针对自己。可以帮你调整不合理的认知，提升判断力和现实检验的能力，提升自信和安全感，手把",真人
['看到你的的留言，其实我看来你们之间缺乏信任和沟通，更严重的说你们的爱淡化了，你已经不爱他，你只是把他当成心情垃圾桶而已。相信在热恋时，你并不是这种状态，你们应该会是无话不说，无话不谈，甚至千万遍的重复都不觉得烦。而你现在的状态是宁愿自己压抑，也不愿意和他沟通，甚至是厌烦。莫名的悲伤，心情不定，其实这些都是借口，是你长期积累下来的压抑，你也不愿意和对方沟通，不愿意让对方和你一起分担，甚至瞧不起对方能解决你心理压抑的那些问题。而对方不轻易间的一句话，让你火冒三丈，那是因为你的自私和任性，你把对方当成自己享有的出气桶，你并在乎对方的感受，甚至感觉理所当然，这就是为什么我说你是自私甚至是不爱对方的,真人
"['你好，能够理解你的心情。换个角度看你的生活：尽管父亲在小时候没有给过你肯定，但你一直没有放弃自己，你努力工作，努力生活，而且朋友、亲人对你都不赖。这样描述你的情况，你会有什么样的感受？你能选择来这里求助，就非常的不简单。咨询是一个过程，我需要了解更多的情况，才能帮你分析解决问题。我帮助过很多和你一样困扰的人，相信也可以帮到你。可以多说一些你的情况吗？\n', '与其即期望于父亲改变，改变对你的鞭策教育，不如改变你自己的心态，强大自己 才是解决问题的根源！\n老师相信你 可以的，我愿意为你加油打气\n', '可以感受到你内心的迷茫，你的困扰在于你总是压抑自己的情绪，不善于表达自己的想法和感受",真人
"['分手了就该有分手的界线，每个人都有心理边界，您之所以这么困惑，是对方的言行勿让你以为还有情有意，而真正到了谈及感情的时候对方却回避你，无论是对方不自信还是其他什么原因，您最好设定自己的界线：像一般朋友处着吧，定好应有的人际边界，过界就是暧昧不清，如果非常困扰您，就和对方摆开了问清楚，毕竟女人的青春不是拿来耗的。\n', '分手的原因是什么？谁提出来的？同时如果你想知道他关于你们关系的真实想法，做好的方法是直接问他。不同的人对同一件事的体验感受以及想法都不同。每个人也有每个人不同的内心状态和经历，通过猜想的方式，让自己活在不落地的幻想中，是自我折磨和欺骗。最终也只有自己承担自己行为的结果。\",真人
"['粘人有的时候是害怕失去，有的时候在深层心理中也是一种想要期望对方按照自己心意行事的做法。\n这样直白的去讲可能有点太突兀，但是我们看一下事情的结果。\n如果男友特别粘你，你是不是也会觉得有点难以接受呢，所以这种感觉，跟男友现在的感觉会有点类似。你可以跟男友讨论一下他的感觉，如果他觉得你能理解他，但却不愿做出一些调整，可能就会误以为你不够在意他的感受了，就会影响到他对你的感情。\n所以，对待不同的人可能需要不同的方式，适宜和舒服的是最好的，而不是对谁都一个样。\n', '粘人是多数女生的特质，打个比方吧，就像当妈的和当儿子的，当妈的如果过分的去干涉儿子的生活，或者管得太严，那就肯定会有争吵，",真人
"['亲密关系的处理上可能是内心太缺乏与人的连结，并不知道自己内心究竟想要什么，企图改变他人是想要去控制关系，从而体现自我的力量，像您说的，对方人丑还出轨，您却还与之纠缠那么久，这里面有很多复杂的纠缠。感情上太过被动，被动接纳被动虐心，问题真心多。\n', '感觉你这种情况得搞个50次以上。诚然你看了很多武志红的书，但是类似强迫、自恋的东西，自己很难走得出来，祝好吧\n', '你好！\n虽然我不是你待见欣赏的女心理咨询师，但是还愿意毛遂自荐的推销一些自己。\n看的出你是一个很有觉察力和內省力的男士，很清晰的了解的自己的成长经历造就了今天的脾气暴躁，完美主义，边缘化的人格等特质。\n看得出你是一个",真人
['很简单，婚姻现实恐惧症。很多新婚夫妻都会有如此遭遇，过得去白头偕老，过不去劳燕分飞。在热恋中的情侣，因为喜欢而生爱，因为爱而包容，哪怕再大的毛病都认为是无所谓的事，因为并不会触及到你的利益和底线。然而结婚后，面对现实的柴米油盐酱醋茶，他的毛病可能将会影响到你们今后的生活和你的利益时，你在乎了，失望了。这个事例很常见。其实是你们的感情淡了，是你们已经走在一起了，那种“崇高”的面具撕掉了的结果。“爱一个人，要学会去包容他的一切”也许这句话你经常听，那是在热恋中。可结婚后你经常抱怨他的一切，甚至感觉他变了，他也感觉你变了。那是因为恋爱的感性冲走了你们的理性思维而导致的结果。那也是你们的不成熟导致,真人
"['其实孩子是没有问题的，对新鲜事物感到好奇那是小孩子的天性，如果好奇心得不到满足，孩子会想其它办法去得到，前提是正确的途径，这就需要家长从正面去引导，或许更深一层的是在潜意识里家长对她的爱不够，想要用这样的方法来引起你们的关注，家长可以从多方面去学习与了解孩子每个成长阶段的心理需求。\n', '你好，看得出来，你特别爱你的孩子，是个负责任的家长。面对孩子的问题很焦虑。不是不舍得给孩子买东西，而是不知道如何处理才对孩子最好，希望孩子一生平顺。孩子的这种行为，真正偷，都不用太大惊小怪，也许完全不是你想象的那样。你有没有问过她为什么喜欢收集，有没有真正了解孩子内心真实的想法？家长经常用自己的成人思",真人
"['首先朋友之间双方都是个体，每个个体都有自己的隐私，太近之后将会有莫名的担心和压力。其实朋友之间并非一定要达到无所不谈推心置腹的地步，而是相互之间的帮助，相互之间的倾诉和依靠和陪伴，并不等同于情侣，家人，夫妻之间的感情。所以这个是个度的问题，你也许知道太多关于她的秘密，她的离开其实三种可能：1、有效的去保护自己的隐私。2、“移情别恋”她只想把秘密告诉她最亲的人。3、抑制情感的发展。这三种可能都会存在，但也不排除她与你是否产生了误会。其实打开心结才是最好的方式，学会沟通和了解，甚至在某些时候，要学会理解......\n祝你好运！遥迪\n', '在这看到你很在乎这段友谊，那你有了解过她的压力来自",真人
['与女儿间的关系往往是自己幼年与母亲关系的翻版。如果我们的童年对母亲有许多难以言传的怨气，在女儿出生后，这种早已遗忘的情绪便会被激起。而这时你变成了当年的母亲，女儿便是当年的自己。\n从理论上讲，这种解释大致是合理的。因为如果是出于对于孩子与自己争夺老公爱的深层嫉妒，其实不太会达到目前的这种程度。这种怨恨看起来还是埋藏很深的。\n心理学中有一种代际相传的说法，意思是说家族的行事风格和性情会代代相传。如果我们早年与母亲的关系没有处理好，又通过与母亲相似的方式对待自己的女儿，这样女儿长大后，难免会重复我们和外婆的人生。\n我相信你是爱女儿的，所以还是早作调整。毕竟越早年的创伤埋藏的越深，对我们的,真人
"['你们当初分手原因是什么呢？您觉得您回去找他是基于怎么样的想法？面对自己的真实感觉，才能更好地把握自己的情感未来。\n', '他，这样做，你的感受是什么？你为什么在意？你放不下的是什么？找不找他不重要，关键是找他之后，你的心态是怎样的？你准备干些什么？如果这些你都没有一个明确的答案的话，建议找咨询师梳理一下？\n', '你们分手的原因是什么?看得你出你对他非常的在意，如果你去找他，他就能够好起来吗?他如果要求你们和好他才能够振作起来，那么你怎么办呢?失恋的很多，但是不是每一个都是他这种行为，他的行为虽然是因为失恋而起，但是是他自己的性格导致现在的行为，和你没有关系，这是他要走的路，你不能够为",真人
"['您好,可以静下来了解一下父母不同意的深层原因,自己也需要好好过滤一下他们的想法,同时也要好好问下自己到底想要过什么样的生活,什么想的婚姻,也可以约我深聊,相信近十年婚恋工作经验的我能帮你好好分析一下,祝好\n', '一方面是自己的感受，一方面是家人的看法。那么你觉得自己在这份关系中体验到的是什么?需要的和希望的是什么？对于家人的看法“恋父情结”，作为当事人的你来说，又有着怎样的感触或理解?\n', '大22岁，这个有点夸张的。恋父情结倒不是很重要，因为人多人都有。你需要的是理性看待这个问题，22岁的差距，论年龄和学历，如果他包容体贴一点，这个足以让你觉得契合度很高。换句话说，你觉得他契合度",真人
"['理解你的心情，但是心里不平衡抱怨也没啥用。反正你自己也有能力就是辛苦点而已，还是自己赚钱花来的更踏实一些，过好自己的日子吧，好好享受生活，天天想这想那的，糟蹋自己心情\n', '心态的问题，看你想改变别人还是想改变自己，你可以从两个层面看，从法律层面看，父母的钱给谁，是他们的自由，你是自寻烦恼，从心理上看，这么多年你父母成功把你推到优秀独立男人的位置。你心里的难过是比较而生的，是不公平的感觉，如果你父母就你一个孩子，这样对你，你不会感到难过了。\n', '这个问题和上一个问题类似，回复如下：\n缺爱是人生中比较严重的负能量特征。当一个人在缺爱的家庭环境中成长时，他会表现出不自信、自卑、没有",真人
"['你老公什么时候休息啊？你要是忍心的话，那一天你就早早的出去，把带孩子的方法，用纸条写着告诉你老公，然后很晚回来那你老公也体验一下自己带孩子\n', '你好，能够理解你的心情。可以感受到你内心的委屈。不知道没有生宝宝之前，你们的生活模式是怎样的？你老公是一个什么性格的人？你有没有给过老公体验你生活的机会？你能选择来这里求助，就非常的不简单。咨询是一个过程，我需要了解更多的情况，才能帮你分析解决问题。我帮助过很多有同样困扰的人，相信也可以帮到你。可以多说一些吗？\n', '宝宝十一个月大正是最累人的时候，你一个人带孩子，老公不帮忙也不体谅，你的心里一定委屈愤怒，你说到他的挑剔指责，他都会针对哪",真人
"['最好的方法就是不借钱。借出去的钱你也要问清楚他什么时候还到了那个时间就去问他，钱可以还你了吗？你要是做不到拒绝也不好意思要回，那是你自己的问题，面子值几个钱？自己心里舒坦，才重要吧！\n', '为什么要通过借钱给别人来建立友谊呢？一个连400块也没有办法的人，真没有做朋友的必要。如果不还的话 ，如果不是关系太好的话，那只能说对方太没有底限，所有欺负你这样的老实人内向人就是必然的了。\n', '你好，能够理解你的心情。借钱不还，你觉得他把你当朋友了吗？既然知道他人品不好，是什么原因要借给他？之所以总发生这样的事情，源于你没有自己的边界，不会拒绝，这就会让一些人得寸进尺，学会拒绝，你才能赢得别",真人
['你的努力没有白费。结果的不理想，并不能等同于过程的无意义，即便是在高考这件事上亦是如此。\n高考结束意味着我们进入了成年人的世界，成年期发展的好坏，取决于早年的教育和个人素质的培养。\n高考考的好，可能意味着我们会进入一个好的环境，但同时也面临选择一个更好学校的冷门专业，还是冷门学校的热门专业这样的问题。好的院校竞争激烈，但同时也会出现诸多的内心的不平衡。这些都是在不同的境遇下需要面临的新的挑战。\n而你现在的挑战是，如何面对高考的偶然失利，如何去调整对自己的看法。\n人生其实总是在不断的选择中前进的，选择的不同有时会完全影响一个人的走向，而是否有勇气面对未来的不确定却是在考察一个人的心理,真人
"['作为即将毕业的大四师姐，我的观点是：时间会证明一切。\n1.高考分数不论多少，已有结果。现在请填好志愿，选择四年在哪个城市学习最重要，这能拯救你分数上的不足，有条件可以向职业规划咨询师咨询。\n2.你很在乎分数，是一个对自己负责的孩子。那就把这份成熟转化成前进的力量。四年的大学生活好好规划，切勿因为学校一般觉得没有必要努力。你是自己命运的主宰者，相信你！\n', '有期望就有机会，自己的付出无论结果如何，那是自己的汗水和努力，我们不抱抱自己，还有谁心疼那个不容易的我呢？\n', '能感受到你的压力，分数已经批出来了，只是等一个公布了，该来的总会来的，这都是你的汗水和努力，要肯定和接受自己，",真人
